Season,Date,Team Name,Opponent,Location,Outcome (from dataset),Computed Result,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,Points For,Points Against,Hammer Ends,No-Hammer Ends,Steals For,Steals Against
2023-2024,1/19/2024,Mixed Chaos,Sobering,Denver Curling Club,Loss,L,C,Red,Playdowns,8,6,2,9,3,3,0,1
2023-2024,1/19/2024,Mixed Chaos,Fountain,Denver Curling Club,Win,W,B,Yellow,Playdowns,8,6,9,1,2,4,3,0
2023-2024,1/20/2024,Mixed Chaos,Falco,Denver Curling Club,Loss,L,D,Yellow,Playdowns,8,6,1,7,4,2,1,3
2023-2024,1/20/2024,Mixed Chaos,Spielman,Denver Curling Club,Loss,L,C,Yellow,Playdowns,8,6,2,11,5,1,0,4
2023-2024,1/21/2024,Mixed Chaos,Carle,Denver Curling Club,Loss,L,A,Red,Playdowns,8,7,2,6,5,2,0,3
2023-2024,1/21/2024,Mixed Chaos,Kizlyk,Denver Curling Club,Loss,L,D,Red,Playdowns,8,7,3,7,5,2,0,3
2023-2024,1/22/2024,Mixed Chaos,Johnston,Denver Curling Club,Win,W,A,Yellow,Playdowns,8,7,6,3,3,4,2,0
