Season,Date,Team Name,Opponent,Location,Outcome (from dataset),Computed Result,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,Points For,Points Against,Hammer Ends,No-Hammer Ends,Steals For,Steals Against
2023-2024,6/23/2024,Subbing,Yeah Buddy!!,Denver Curling Club,Win,W,A,Red,Bonspiel,8,7,6,4,3,4,2,1
2023-2024,6/23/2024,Subbing,Peel-a-colada,Denver Curling Club,Win,W,C,Yellow,Bonspiel,8,6,7,1,1,5,3,0
2024-2025,7/5/2024,Subbing,TWSS,Coyotes Curling Club,Win,W,C,Yellow,Bonspiel,8,3,7,0,1,2,1,0
2024-2025,7/6/2024,Subbing,Cat Daddy,Coyotes Curling Club,Win,W,C,Yellow,Bonspiel,8,9,9,8,3,6,3,0
2024-2025,7/6/2024,Subbing,We Don’t Need No Stinking Hammer,Coyotes Curling Club,Win,W,B,Yellow,Bonspiel,8,9,6,5,4,5,2,1
2024-2025,7/7/2024,Subbing,High Risk-Low Reward,Coyotes Curling Club,Loss,L,C,Yellow,Bonspiel,8,8,8,11,4,4,1,2
2024-2025,10/11/2024,Subbing,FAC,Denver Curling Club,Win,W,C,Red,Social Leauge,8,7,7,5,2,5,3,0
2024-2025,11/22/2024,Subbing,FAC,Denver Curling Club,Win,W,B,Red,Social Leauge,8,8,10,3,2,6,3,0
2024-2025,12/11/2024,Subbing,Scrimmage,Rock Creek Curling,Win,W,D,Green,Social Leauge,8,6,8,3,3,3,1,1
2024-2025,12/12/2024,Subbing,Thurs Day,Denver Curling Club,Win,W,B,Red,Social Leauge,8,8,16,1,2,6,5,0
2024-2025,1/9/2025,Subbing,Thurs Day,Denver Curling Club,Loss,L,B,Yellow,Social Leauge,8,7,5,9,3,4,1,1
2024-2025,1/10/2025,Subbing,FAC,Denver Curling Club,Loss,L,A,Yellow,Social Leauge,8,8,6,7,4,4,3,4
2024-2025,1/10/2025,Subbing,FAC,Denver Curling Club,Loss,L,C,Yellow,Social Leauge,8,8,7,9,5,3,0,2
2024-2025,1/23/2025,Subbing,Thurs Day,Denver Curling Club,Loss,L,C,Yellow,Social Leauge,8,7,2,11,5,2,0,4
2024-2025,1/24/2025,Subbing,Wilson,Rock Creek Curling,Win,W,D,Green,Bonspiel,8,8,8,4,4,4,1,0
2024-2025,1/25/2025,Subbing,Connell,Rock Creek Curling,Win,W,A,Yellow,Bonspiel,8,6,7,4,3,3,2,2
2024-2025,1/25/2025,Subbing,Stavely,Rock Creek Curling,Loss,L,F,Yellow,Bonspiel,8,7,5,7,4,3,1,2
2024-2025,1/26/2025,Subbing,Cotter,Rock Creek Curling,Win,W,E,Green,Bonspiel,8,6,12,2,1,5,3,0
2024-2025,1/26/2025,Subbing,Lewis,Rock Creek Curling,Win,W,C,Green,Bonspiel,8,8,12,5,4,4,3,3
