Season,Date,Team Name,Opponent,Location,Outcome (from dataset),Computed Result,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,Points For,Points Against,Hammer Ends,No-Hammer Ends,Steals For,Steals Against
2024-2025,1/16/2025,Thursday Women,Hawlucha,Rock Creek Curling,Win,W,B,Green,Competitive League,8,7.0,6,4,5,2,0,2
2024-2025,1/23/2025,Thursday Women,Gourgeist,Rock Creek Curling,Win,W,D,Green,Competitive League,8,7.0,5,2,3,4,3,1
2024-2025,1/30/2025,Thursday Women,Drampa,Rock Creek Curling,Win,W,A,Green,Competitive League,8,6.0,11,2,2,4,2,0
2024-2025,2/6/2025,Thursday Women,Crabominable,Rock Creek Curling,Win,W,D,Green,Competitive League,8,7.0,5,3,3,4,1,0
2024-2025,2/13/2025,Thursday Women,Flapple,Rock Creek Curling,Loss,L,F,Green,Competitive League,8,7.0,3,9,5,2,0,3
2024-2025,3/13/2025,Thursday Women,Aromatisse,Rock Creek Curling,Win,W,F,Yellow,Competitive League,8,4.0,5,1,2,2,1,0
2024-2025,3/20/2025,Thursday Women,Pyukumuku,Rock Creek Curling,Win,W,C,Green,Competitive League,8,7.0,10,6,4,3,1,2
