Season,Date,Team Name,Opponent,Location,Outcome (from dataset),Computed Result,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,Points For,Points Against,Hammer Ends,No-Hammer Ends,Steals For,Steals Against
2024-2025,11/8/2024,Rocky Mtn Lobstaaas,Dr Allans,Belfast Curling Club,Win,W,3,Yellow,Bonspiel,8,6.0,8,3,2,4,3,2
2024-2025,11/8/2024,Rocky Mtn Lobstaaas,"Curl, Drink, Repeat",Belfast Curling Club,Win,W,1,Red,Bonspiel,8,4.0,11,0,1,3,3,0
2024-2025,11/9/2024,Rocky Mtn Lobstaaas,Hit & Loberst Roll,Belfast Curling Club,Win,W,3,Yellow,Bonspiel,8,7.0,6,5,2,5,3,0
2024-2025,11/10/2024,Rocky Mtn Lobstaaas,Irieites,Belfast Curling Club,Win,W,2,Red,Bonspiel,8,7.0,5,3,1,6,3,0
