__Team__,Season,Date,Team Name,Opponent,Location,Outcome (from dataset),Computed Result,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,Points For,Points Against,Hammer Ends,No-Hammer Ends,Steals For,Steals Against
Monday_Hijinks,2023-2024,3/25/2023,Monday_Hijinks,Sleeper,Denver Curling Club,Win,T,C,Yellow,Social Leauge,8,8,0,0,0,0,0,0
Monday_Hijinks,2023-2024,4/1/2023,Monday_Hijinks,Wilson,Denver Curling Club,Win,T,A,Yellow,Social Leauge,8,8,0,0,0,0,0,0
Subbing,2023-2024,9/14/2023,Subbing,Feldman,Denver Curling Club,Win,W,A,Yellow,Bonspiel,8,8,8,6,4,4,1,0
Subbing,2023-2024,9/15/2023,Subbing,Neill,Denver Curling Club,Loss,L,B,Red,Bonspiel,8,7,4,6,4,3,1,1
Subbing,2023-2024,9/22/2023,Subbing,Craftwerk,Denver Curling Club,Win,W,D,Yellow,Bonspiel,8,7,7,3,3,4,3,1
Subbing,2023-2024,9/23/2023,Subbing,Braustolz,Denver Curling Club,Loss,L,B,Red,Bonspiel,8,7,5,7,5,2,1,3
Subbing,2023-2024,9/23/2023,Subbing,Watzdorfer,Denver Curling Club,Win,W,D,Yellow,Bonspiel,8,7,11,1,2,5,4,0
Subbing,2023-2024,9/24/2023,Subbing,Holzlandbrau,Denver Curling Club,Loss,L,C,Yellow,Bonspiel,8,6,2,5,4,2,0,2
Thursday_Rookies,2023-2024,10/5/2023,Thursday_Rookies,Andrews,Rock Creek Curling,Loss,L,E,Green,Competitive League,8,8,6,8,2,6,4,1
Thursday_Rookies,2023-2024,10/12/2023,Thursday_Rookies,Carle,Rock Creek Curling,Win,W,B,Green,Competitive League,8,6,7,1,0,6,5,0
Thursday_Rookies,2023-2024,10/19/2023,Thursday_Rookies,Wood,Rock Creek Curling,Loss,L,D,Green,Competitive League,8,8,5,6,3,5,2,1
Thursday_Rookies,2023-2024,10/26/2023,Thursday_Rookies,Stavely,Rock Creek Curling,Win,W,D,Yellow,Competitive League,8,8,8,6,4,4,1,0
Thursday_Rookies,2023-2024,11/2/2023,Thursday_Rookies,Marlow,Rock Creek Curling,Win,W,F,Yellow,Competitive League,8,7,10,3,3,4,2,1
Thursday_Rookies,2023-2024,11/9/2023,Thursday_Rookies,Mansell,Rock Creek Curling,Loss,L,A,Yellow,Competitive League,8,4,0,11,4,0,0,4
Thursday_Rookies,2023-2024,11/16/2023,Thursday_Rookies,Henning,Rock Creek Curling,Loss,L,E,Green,Competitive League,8,9,9,10,5,4,1,2
Thursday_Rookies,2023-2024,11/30/2023,Thursday_Rookies,Sobering,Rock Creek Curling,Win,W,E,Green,Competitive League,8,8,5,3,2,6,3,1
Thursday_Sobering,2024-2025,10/3/2024,Thursday_Sobering,Blue Moons,Rock Creek Curling,Loss,L,A,Yellow,Competitive League,8,8,6,7,3,5,2,0
Thursday_Sobering,2024-2025,10/10/2024,Thursday_Sobering,Electric Ice,Rock Creek Curling,Win,W,C,Green,Competitive League,8,7,8,4,3,4,2,1
Thursday_Sobering,2024-2025,10/24/2024,Thursday_Sobering,Frostbite Fliers,Rock Creek Curling,Loss,L,A,Green,Competitive League,8,7,4,9,4,3,1,2
Thursday_Sobering,2024-2025,10/31/2024,Thursday_Sobering,Azure Waves,Rock Creek Curling,Win,W,A,Green,Competitive League,8,6,13,3,1,5,4,0
Thursday_Sobering,2024-2025,11/7/2024,Thursday_Sobering,Glacier Guardians,Rock Creek Curling,Win,W,D,Yellow,Competitive League,8,6,11,5,2,4,1,0
Tuesday_Sobering,2024-2025,10/8/2024,Tuesday_Sobering,Danahey,Denver Curling Club,Loss,L,B,Red,Competitive League,8,8,5,9,4,4,0,1
Tuesday_Sobering,2024-2025,10/22/2024,Tuesday_Sobering,Dudt,Denver Curling Club,Loss,T,A,Red,Competitive League,8,9,7,7,3,6,3,1
Tuesday_Sobering,2024-2025,10/29/2024,Tuesday_Sobering,Wolfe,Denver Curling Club,Win,W,C,Yellow,Competitive League,8,7,11,2,2,5,2,0
Tuesday_Sobering,2024-2025,11/5/2024,Tuesday_Sobering,Wishart,Denver Curling Club,Win,W,B,Yellow,Competitive League,8,7,6,3,4,3,1,1
Tuesday_Sobering,2024-2025,11/19/2024,Tuesday_Sobering,Moir,Denver Curling Club,Loss,L,A,Yellow,Competitive League,8,7,4,5,4,3,0,1
Tuesday_Sobering,2024-2025,12/10/2024,Tuesday_Sobering,Moir,Denver Curling Club,Win,W,B,Yellow,Competitive League,8,7,10,3,1,6,5,0
Tuesday_Sobering,2024-2025,12/17/2024,Tuesday_Sobering,Bata,Denver Curling Club,Loss,L,C,Red,Competitive League,8,7,4,7,5,2,0,4
Tuesday_Sobering,2024-2025,1/7/2025,Tuesday_Sobering,Wishart,Denver Curling Club,Win,W,C,Yellow,Competitive League,8,7,10,5,3,4,2,1
Tuesday_Sobering,2024-2025,1/14/2025,Tuesday_Sobering,Culbertson,Denver Curling Club,Win,T,B,Yellow,Competitive League,8,8,6,6,4,4,2,2
Tuesday_Sobering,2024-2025,1/21/2025,Tuesday_Sobering,Wolfe,Denver Curling Club,Win,W,D,Yellow,Competitive League,8,6,10,1,1,5,4,0
Tuesday_Sobering,2024-2025,1/28/2025,Tuesday_Sobering,Kizlyk,Denver Curling Club,Win,W,B,Yellow,Competitive League,8,8,6,4,5,3,1,1
Tuesday_Sobering,2024-2025,2/11/2025,Tuesday_Sobering,Rose,Denver Curling Club,Win,W,A,Red,Competitive League,8,7,9,7,3,4,2,2
Tuesday_Sobering,2024-2025,2/18/2025,Tuesday_Sobering,Sobering,Denver Curling Club,Loss,L,B,Red,Competitive League,8,6,2,6,4,2,0,2
Tuesday_Sobering,2024-2025,3/4/2025,Tuesday_Sobering,Suhr,Denver Curling Club,Loss,L,C,Yellow,Competitive League,8,7,3,5,4,3,1,1
Tuesday_Sobering,2024-2025,3/11/2025,Tuesday_Sobering,Falco,Denver Curling Club,Loss,L,D,Yellow,Competitive League,8,4,3,9,3,1,0,2
Tuesday_Sobering,2024-2025,3/18/2025,Tuesday_Sobering,Mansell,Denver Curling Club,Loss,L,B,Yellow,Competitive League,8,6,1,7,5,1,0,4
Tuesday_Sobering,2024-2025,4/1/2025,Tuesday_Sobering,Rose,Denver Curling Club,Win,W,C,Red,Competitive League,8,7,7,1,1,6,5,0
