Season,Date,Team Name,Opponent,Location,Outcome (from dataset),Computed Result,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,Points For,Points Against,Hammer Ends,No-Hammer Ends,Steals For,Steals Against
2023-2024,2/22/2024,Mixed Dreams,3rd Rock from the Pin,Denver Curling Club,Win,W,A,Red,Bonspiel,8,8,7,2,3,5,4,0
2023-2024,2/23/2024,Mixed Dreams,Moon Golfers,Denver Curling Club,Win,W,C,Red,Bonspiel,8,6,9,1,1,5,4,0
2023-2024,2/23/2024,Mixed Dreams,Stars Dusters,Denver Curling Club,Win,W,B,Red,Bonspiel,8,6,9,3,2,4,2,0
2023-2024,2/24/2024,Mixed Dreams,Space Ghosts,Denver Curling Club,Loss,L,D,Yellow,Bonspiel,8,8,6,7,6,2,0,3
